"date","location","location_name","season","horizon","weekly_rate","value","rate_diff","category","numeric_category"
2022-02-05,"02","Alaska","2022-2023",1,0.136486536285628,1,NA,NA,NA
2022-02-05,"01","Alabama","2022-2023",1,0.337309819267415,17,NA,NA,NA
2022-02-05,"05","Arkansas","2022-2023",1,0.760106692541139,23,NA,NA,NA
2022-02-05,"04","Arizona","2022-2023",1,0.522242299537293,38,NA,NA,NA
2022-02-05,"06","California","2022-2023",1,0.0815539368684858,32,NA,NA,NA
2022-02-05,"08","Colorado","2022-2023",1,0.344111537560893,20,NA,NA,NA
2022-02-05,"09","Connecticut","2022-2023",1,0.110938632354087,4,NA,NA,NA
2022-02-05,"11","District of Columbia","2022-2023",1,0.447727781508843,3,NA,NA,NA
2022-02-05,"10","Delaware","2022-2023",1,0,0,NA,NA,NA
2022-02-05,"12","Florida","2022-2023",1,0.362699305563973,79,NA,NA,NA
2022-02-05,"13","Georgia","2022-2023",1,0.416683411166708,45,NA,NA,NA
2022-02-05,"15","Hawaii","2022-2023",1,0,0,NA,NA,NA
2022-02-05,"19","Iowa","2022-2023",1,0.532401484585881,17,NA,NA,NA
2022-02-05,"16","Idaho","2022-2023",1,0.0526060234949022,1,NA,NA,NA
2022-02-05,"17","Illinois","2022-2023",1,0.126267917318821,16,NA,NA,NA
2022-02-05,"18","Indiana","2022-2023",1,0.528946214251133,36,NA,NA,NA
2022-02-05,"20","Kansas","2022-2023",1,0.374840437241147,11,NA,NA,NA
2022-02-05,"21","Kentucky","2022-2023",1,0.332638931084753,15,NA,NA,NA
2022-02-05,"22","Louisiana","2022-2023",1,0.51902586630283,24,NA,NA,NA
2022-02-05,"25","Massachusetts","2022-2023",1,0.529727521048437,37,NA,NA,NA
2022-02-05,"24","Maryland","2022-2023",1,0.178422868361716,11,NA,NA,NA
2022-02-05,"23","Maine","2022-2023",1,0.21861953423837,3,NA,NA,NA
2022-02-05,"26","Michigan","2022-2023",1,0.318382267858783,32,NA,NA,NA
2022-02-05,"27","Minnesota","2022-2023",1,0.402986303722017,23,NA,NA,NA
2022-02-05,"29","Missouri","2022-2023",1,0.907884277827504,56,NA,NA,NA
2022-02-05,"28","Mississippi","2022-2023",1,0.745771560001559,22,NA,NA,NA
2022-02-05,"30","Montana","2022-2023",1,0.905574809082191,10,NA,NA,NA
2022-02-05,"37","North Carolina","2022-2023",1,0.284328872971527,30,NA,NA,NA
2022-02-05,"38","North Dakota","2022-2023",1,2.06465466069981,16,NA,NA,NA
2022-02-05,"31","Nebraska","2022-2023",1,1.52773449196717,30,NA,NA,NA
2022-02-05,"33","New Hampshire","2022-2023",1,0.0719946551168041,1,NA,NA,NA
2022-02-05,"34","New Jersey","2022-2023",1,0.291352338857877,27,NA,NA,NA
2022-02-05,"35","New Mexico","2022-2023",1,0.567140717536983,12,NA,NA,NA
2022-02-05,"32","Nevada","2022-2023",1,0.127226827303259,4,NA,NA,NA
2022-02-05,"36","New York","2022-2023",1,0.0907444996355852,18,NA,NA,NA
2022-02-05,"39","Ohio","2022-2023",1,0.169779041914795,20,NA,NA,NA
2022-02-05,"40","Oklahoma","2022-2023",1,1.47994338087798,59,NA,NA,NA
2022-02-05,"41","Oregon","2022-2023",1,0.0235507182380295,1,NA,NA,NA
2022-02-05,"42","Pennsylvania","2022-2023",1,0.362540859126187,47,NA,NA,NA
2022-02-05,"72","Puerto Rico","2022-2023",1,0.214488121035034,7,NA,NA,NA
2022-02-05,"44","Rhode Island","2022-2023",1,0,0,NA,NA,NA
2022-02-05,"45","South Carolina","2022-2023",1,0.443099733080574,23,NA,NA,NA
2022-02-05,"46","South Dakota","2022-2023",1,1.11684923428817,10,NA,NA,NA
2022-02-05,"47","Tennessee","2022-2023",1,0.544785840385204,38,NA,NA,NA
2022-02-05,"48","Texas","2022-2023",1,0.399621497482672,118,NA,NA,NA
2022-02-05,"US","US","2022-2023",1,0.342579520442604,1137,NA,NA,NA
2022-02-05,"49","Utah","2022-2023",1,0.179749698544776,6,NA,NA,NA
2022-02-05,"51","Virginia","2022-2023",1,0.543838346250073,47,NA,NA,NA
2022-02-05,"50","Vermont","2022-2023",1,0,0,NA,NA,NA
2022-02-05,"53","Washington","2022-2023",1,0.0775324822334317,6,NA,NA,NA
2022-02-05,"55","Wisconsin","2022-2023",1,0.525788394255813,31,NA,NA,NA
2022-02-05,"54","West Virginia","2022-2023",1,0.50477885357992,9,NA,NA,NA
2022-02-05,"56","Wyoming","2022-2023",1,0.172770355371344,1,NA,NA,NA
2022-02-12,"02","Alaska","2022-2023",1,0,0,NA,NA,NA
2022-02-12,"01","Alabama","2022-2023",1,0.238101048894646,12,NA,NA,NA
2022-02-12,"05","Arkansas","2022-2023",1,0.793154809608145,24,NA,NA,NA
2022-02-12,"04","Arizona","2022-2023",1,0.865822759759197,63,NA,NA,NA
2022-02-12,"06","California","2022-2023",1,0.0866510579227662,34,NA,NA,NA
2022-02-12,"08","Colorado","2022-2023",1,0.464550575707205,27,NA,NA,NA
2022-02-12,"09","Connecticut","2022-2023",1,0,0,NA,NA,NA
2022-02-12,"11","District of Columbia","2022-2023",1,0,0,NA,NA,NA
2022-02-12,"10","Delaware","2022-2023",1,0.199325482566993,2,NA,NA,NA
2022-02-12,"12","Florida","2022-2023",1,0.29383234881132,64,NA,NA,NA
2022-02-12,"13","Georgia","2022-2023",1,0.351865991651887,38,NA,NA,NA
2022-02-12,"15","Hawaii","2022-2023",1,0,0,NA,NA,NA
2022-02-12,"19","Iowa","2022-2023",1,1.62852218814505,52,NA,NA,NA
2022-02-12,"16","Idaho","2022-2023",1,0.0526060234949022,1,NA,NA,NA
2022-02-12,"17","Illinois","2022-2023",1,0.0710257034918367,9,NA,NA,NA
2022-02-12,"18","Indiana","2022-2023",1,0.499560313459404,34,NA,NA,NA
2022-02-12,"20","Kansas","2022-2023",1,0.681528067711177,20,NA,NA,NA
2022-02-12,"21","Kentucky","2022-2023",1,0.332638931084753,15,NA,NA,NA
2022-02-12,"22","Louisiana","2022-2023",1,0.475773710777594,22,NA,NA,NA
2022-02-12,"25","Massachusetts","2022-2023",1,0.529727521048437,37,NA,NA,NA
2022-02-12,"24","Maryland","2022-2023",1,0.129762086081248,8,NA,NA,NA
2022-02-12,"23","Maine","2022-2023",1,0.510112246556196,7,NA,NA,NA
2022-02-12,"26","Michigan","2022-2023",1,0.397977834823478,40,NA,NA,NA
2022-02-12,"27","Minnesota","2022-2023",1,0.332901729161666,19,NA,NA,NA
2022-02-12,"29","Missouri","2022-2023",1,0.680913208370628,42,NA,NA,NA
2022-02-12,"28","Mississippi","2022-2023",1,0.745771560001559,22,NA,NA,NA
2022-02-12,"30","Montana","2022-2023",1,1.17724725180685,13,NA,NA,NA
2022-02-12,"37","North Carolina","2022-2023",1,0.303284131169629,32,NA,NA,NA
2022-02-12,"38","North Dakota","2022-2023",1,0.645204581468692,5,NA,NA,NA
2022-02-12,"31","Nebraska","2022-2023",1,1.4768100089016,29,NA,NA,NA
2022-02-12,"33","New Hampshire","2022-2023",1,0.791941206284845,11,NA,NA,NA
2022-02-12,"34","New Jersey","2022-2023",1,0.269770684127664,25,NA,NA,NA
2022-02-12,"35","New Mexico","2022-2023",1,0.330832085229907,7,NA,NA,NA
2022-02-12,"32","Nevada","2022-2023",1,0.190840240954888,6,NA,NA,NA
2022-02-12,"36","New York","2022-2023",1,0.171406277089439,34,NA,NA,NA
2022-02-12,"39","Ohio","2022-2023",1,0.246179610776453,29,NA,NA,NA
2022-02-12,"40","Oklahoma","2022-2023",1,1.75586502816031,70,NA,NA,NA
2022-02-12,"41","Oregon","2022-2023",1,0.0471014364760589,2,NA,NA,NA
2022-02-12,"42","Pennsylvania","2022-2023",1,0.46281811803343,60,NA,NA,NA
